edge_id,dsi,width,rclass,btw,d_center,length,aadt_hat
1162,1.5916,5.0,4.0,0.0013994804747131532,930.2210036440016,99.979959330187,25853.166512105097
1163,1.8263,5.0,4.0,0.0006896759738021373,894.3293143521323,4.988301032884743,26392.540150527988
1164,1.4143,3.0,4.0,0.005307630989314031,765.9190952693201,55.05812589824204,27589.213847188417
1165,1.3379,3.0,4.0,0.0018785418821096176,802.9772301334668,44.98533931933921,27049.250667827928
1166,1.4892,3.0,4.0,0.00222569803516029,839.0842734654526,45.017376731708616,26475.847691984658
1167,2.0404,3.0,4.0,0.0035444674250258534,870.529259866637,30.067140035691605,25983.188095940204
1169,1.4219,3.0,4.0,0.0012704239917269908,742.8865352116064,54.80559397571051,28100.65732328873
1171,1.3553,3.0,4.0,0.0008335056876938987,807.4823713605911,20.08634208285426,27035.626008924486
1172,1.7487,3.0,4.0,0.0005480868665977249,832.6280135729296,35.02190608455239,26672.911910577663
1173,,3.0,4.0,0.00942192347466391,852.1066971721488,149.75179853767972,26181.314169460256
1174,1.5592,6.0,4.0,0.024216649431230614,696.1717476082383,9.976476867257494,29818.089306397404
1175,1.4767,6.0,4.0,0.008743019648397105,723.7823042737803,94.85810476639166,29349.666953909516
1176,1.453,6.0,4.0,0.008545120557339575,781.3132396308151,89.95483094860707,28300.202914013636
1177,1.7761,1.0,4.0,0.020104705274043434,430.00420663326656,79.67282976564242,35340.45946034909
1178,1.7411,1.0,4.0,0.019856342640468806,401.3077152820063,54.39890889804585,36524.99857971533
1180,1.3254,9.0,4.0,0.012639089968976216,1280.0197376572917,184.75115088532394,23164.523847143544
1181,1.3596,9.0,4.0,0.01033609100310238,1368.911928224775,204.79278349367758,22446.633933572157
1182,1.464,9.0,4.0,0.009994829369183042,1507.3433802495892,204.5746862570551,21440.733095419284
1183,1.6949,9.0,4.0,0.008886504653567736,1570.8486588969063,14.897675567177918,21029.509360676177
1184,1.5071,9.0,4.0,0.007756937263012755,1636.8349765891778,114.84009172153523,20628.352803966318
1186,1.4609,8.0,4.0,0.025366413059536123,740.021747060724,64.77402296494223,29665.887399629046
1187,1.4893,8.0,4.0,0.005701611513271286,735.4394336102434,54.76825500149509,29872.404861704686
1188,1.5556,8.0,4.0,0.0031401240951396073,714.6662816895297,39.94993723266872,30331.50897561868
1189,1.5188,8.0,4.0,0.002832471561530507,709.7788434538257,14.931016962354505,30439.28526577487
1190,1.5579,8.0,4.0,0.002453818102650629,706.8459222741426,89.41414514172922,30511.10759619625
1191,1.527,6.0,4.0,0.017944312306101346,192.5900772478429,45.07321107520235,55075.210859240215
1192,1.3995,6.0,4.0,0.016009048603929682,224.90241102038001,14.992312283755545,51164.23466180506
1193,1.5402,6.0,4.0,0.01615175801447777,237.50408730277826,9.989861368200382,49850.04002367213
1195,1.567,6.0,4.0,0.016443381592554294,263.20393332345344,29.984671203443263,47464.23807289411
1196,1.8178,6.0,4.0,0.016594364012409515,289.25877733290673,19.994985776935287,45374.02265725044
1197,1.6679,6.0,4.0,0.01780506721820062,321.19001197116336,34.94096373208901,43155.9018334817
1198,1.6576,6.0,4.0,0.017879265770423994,368.3798948486212,49.97981622330512,40424.60622367209
1199,1.5399,8.0,4.0,0.02086108901439822,81.28034518793757,60.00478164228824,85098.10664358309
1201,1.4423,8.0,4.0,0.0017170254771082074,139.76198181264624,49.99371303010683,66153.49406410083
1202,1.4021,8.0,4.0,0.0005488624612202689,188.53286322479138,45.05495814315436,57528.16245769955
1203,1.5008,8.0,4.0,0.0002763702171664943,241.9939611200462,54.96674297220043,51165.07873180442
1204,1.4995,8.0,4.0,0.0002068252326783868,301.1585194548559,60.0023062296802,46132.95484438552
1205,1.5262,4.0,4.0,0.005264313246216039,1092.879635824802,50.00744063299163,23570.387799859935
1206,1.7387,4.0,4.0,0.001845213473186586,1081.1662337608095,29.981394668962185,23758.058141459194
1207,1.7746,4.0,4.0,0.0015423991726990695,1057.4695050926189,74.34327474883794,24021.93079292314
1208,1.3686,5.0,4.0,0.00394105480868666,1115.2846215117656,24.939804003463244,23645.011426492074
1209,1.3687,5.0,4.0,0.0022817993795243023,1132.4292120275659,64.97318789480276,23507.812181188747
1210,1.3046,5.0,4.0,0.001894971561530507,1140.989030335008,74.92445014854627,23435.138678578274
1211,1.4829,5.0,4.0,0.0002899431230610135,1197.584844275256,89.54428331109976,23015.098732460938
1212,1.4632,6.0,4.0,0.01320056507608214,1173.7525468775943,134.95656884104037,23280.91852038747
1213,1.4828,5.0,4.0,0.0020252752600523147,697.919807612247,79.80918908847138,29620.315262536922
1214,1.2763,5.0,4.0,0.0002753360910031024,642.2154545277165,85.041012943015,30983.059495081307
1217,1.6223,8.0,4.0,0.005038004136504654,1365.2735650909497,49.989968434778625,22248.09562497056
1218,1.4132,8.0,4.0,8.273009307135472e-05,1397.1554223283563,60.01479334079131,22246.671475537674
1219,1.4276,8.0,4.0,0.00020682523267838678,1430.8245702385543,109.96886922909167,21941.871310765477
1220,1.3631,8.0,4.0,0.001971044467425026,1009.9244707672074,109.84561983524898,25752.20948342144
1221,1.4826,8.0,4.0,0.0020439503619441575,950.6374226894555,24.94445755019824,26503.401475892148
1222,1.5285,8.0,4.0,0.0012545099391014594,920.1536716011575,40.00785171851326,26953.552061469167
1223,1.4321,8.0,4.0,0.00021887677989022354,876.37405367901,55.020255617527965,27716.03419784943
1224,1.5426,6.0,4.0,0.0,1146.8547165378532,134.09133084781917,24142.115590388134
1226,1.5322,6.0,4.0,0.0,1215.5125603058707,54.96821599886457,23481.941485851843
1227,1.4977,7.0,4.0,0.0009480351602895555,1140.137000733471,109.96851467589164,24060.506211908836
1228,1.4658,7.0,4.0,0.0007869700103412618,1029.1669585318698,109.94538379502026,25277.077365072073
1229,1.4579,6.0,4.0,0.00020682523267838678,1179.3568896384866,159.7482548080694,23486.63063070619
