edge_id,case,dsi,aadt,length,width,rclass,tp_dist
543,0,1.407,12525.819178082193,40.03562977899532,10.0,4.0,178.27372701090172
544,0,1.5157,13542.315068493152,40.04671552728832,10.0,4.0,156.83355519550304
545,0,1.3967,13542.315068493152,40.05902875544531,10.0,4.0,143.76135720677928
546,0,1.5412,13542.315068493152,24.965825346046593,10.0,4.0,141.18611211343202
547,0,1.3673,22538.05753424657,119.92035739397323,8.0,4.0,70.019098105585
548,0,1.4517,22538.05753424657,24.932256341464836,8.0,4.0,115.50856462917604
549,0,1.4139,22538.05753424657,45.01592142423041,8.0,4.0,57.28296188538663
550,0,1.3967,22538.05753424657,194.31989728780252,8.0,4.0,115.7615050891438
552,1,1.2597,43406.35616438357,328.44032914087603,6.0,4.0,220.52656439287298
553,0,1.4382,13836.471232876713,99.53679500713153,6.0,4.0,359.5707396912772
554,0,1.5941,13836.471232876713,54.88324456471615,6.0,4.0,295.51651652637815
555,0,1.9266,22671.331506849318,19.67558257221954,3.0,4.0,215.34571341703304
556,0,1.6288,12525.819178082193,59.869311653540024,3.0,4.0,226.4008774348262
557,0,1.4855,12525.819178082193,64.98292512768488,3.0,4.0,268.92923631697397
558,0,1.6809,12525.819178082193,14.979294598516788,3.0,4.0,304.567772535186
559,0,1.262,12525.819178082193,473.5898123234788,3.0,4.0,442.19845966621443
560,0,1.3143,16735.476712328767,69.97529262580743,3.0,4.0,270.77083107724417
561,0,1.2364,16735.476712328767,49.94569484456727,3.0,4.0,325.62950123817643
562,0,1.2755,16735.476712328767,64.51359615432072,3.0,4.0,375.1264664451369
568,1,1.2545,40245.56438356164,219.7667437834172,8.0,4.0,196.29551514512028
569,0,1.3691,9002.78904109589,109.71900789011946,8.0,4.0,68.8143623206593
570,0,1.3129,13836.471232876713,159.67766805271614,3.0,4.0,234.52788832321164
573,0,1.4811,22671.331506849318,49.95752296196631,3.0,4.0,289.78302544923963
574,0,1.3095,22671.331506849318,159.37808127829024,3.0,4.0,389.96698955080205
576,0,1.3001,13836.471232876713,159.8499377498499,3.0,4.0,156.12268036903146
577,0,1.3759,19821.895316804406,244.02224338927482,3.0,4.0,253.01927965980354
579,0,1.572,43406.35616438357,144.8163478778823,4.0,4.0,406.05868026616037
580,1,1.2803,33608.82739726028,269.9847495533141,8.0,4.0,107.78821387054909
582,0,1.1866,22538.05753424657,184.99802357304614,10.0,4.0,207.87716873257753
583,0,1.1828,22538.05753424657,199.87986356606336,10.0,4.0,249.02092535740672
584,0,1.1859,22538.05753424657,119.96833093974053,10.0,4.0,259.82258351056663
585,1,1.4768,30720.39726027397,40.028207628357436,8.0,4.0,97.66177325671089
586,1,1.2264,30720.39726027397,145.03510680337712,8.0,4.0,159.11622908388435
587,0,1.3638,33608.82739726028,89.99322028780281,8.0,4.0,149.96351918852804
588,0,1.2551,22671.331506849318,194.52909275901447,4.0,4.0,352.4457170840059
589,1,1.5384,43406.35616438357,79.95677957594556,6.0,4.0,98.3265173232854
590,1,1.7108,43406.35616438357,20.022874666497092,6.0,4.0,56.095629309023266
591,1,1.4879,43406.35616438357,39.996334141251594,6.0,4.0,44.39535817918808
592,1,1.3818,43406.35616438357,139.92613936052425,6.0,4.0,99.86358190001842
593,1,1.5881,31584.86301369863,39.95832625000874,6.0,4.0,99.44210826408103
