point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10391,1.4337,1.4352,0.2467,0.248,0.0,0.0,565.5,True,False,False,1,0.0012999999999999956,0.0015000000000000568
10392,1.6473,1.6478,0.4324,0.4329,0.0,0.0,646.2,True,False,False,0,0.0005000000000000004,0.0004999999999999449
10394,1.6173,1.6173,0.4064,0.4064,0.0,0.0,659.5,True,True,True,2,0.0,0.0
10396,1.5747,1.5747,0.3693,0.3693,0.0,0.0,692.5,True,True,True,2,0.0,0.0
10398,1.4821,1.5401,0.2888,0.3392,0.0,0.0,680.2,True,False,False,1,0.0504,0.05800000000000005
10402,1.4743,1.4784,0.282,0.2856,0.195,0.0,713.5,True,False,False,1,0.0036000000000000476,0.0040999999999999925
10403,1.8191,1.8191,0.5818,0.5818,0.0,0.0,1068.2,True,True,True,1,0.0,0.0
10405,1.9073,1.9073,0.6586,0.6586,0.0,0.0,1654.8,True,True,True,1,0.0,0.0
10407,1.7061,1.7063,0.4836,0.4837,0.0,0.0,2043.0,True,False,False,2,0.0001000000000000445,0.00019999999999997797
10409,1.1758,1.3169,0.0224,0.1451,0.024,0.024,2064.0,True,False,False,2,0.1227,0.1411
10411,1.823,1.8237,0.5852,0.5859,0.0,0.0,2259.5,True,False,False,1,0.0006999999999999229,0.000700000000000145
10413,2.0303,2.0303,0.7655,0.7655,0.0,0.0,2397.8,True,False,False,2,0.0,0.0
10415,1.4491,1.4849,0.2601,0.2912,0.0,0.0,2362.2,True,False,False,2,0.031100000000000017,0.035800000000000054
10416,1.9986,1.9986,0.7379,0.7379,0.0,0.0,2260.0,True,False,False,2,0.0,0.0
10418,2.046,2.046,0.7792,0.7792,0.0,0.0,2155.5,True,False,False,2,0.0,0.0
10419,1.738,1.7389,0.5113,0.5121,0.0,0.0,1856.0,True,False,False,1,0.0008000000000000229,0.0008999999999999009
1041,1.346,1.509,0.1704,0.3122,0.22,0.0,1066.8,True,False,False,1,0.14179999999999998,0.1629999999999998
10421,1.5912,1.613,0.3836,0.4026,0.0,0.0,1404.0,True,False,False,2,0.019000000000000017,0.02180000000000004
10423,1.5097,1.5273,0.3128,0.3281,0.0,0.024,921.2,True,False,False,1,0.01529999999999998,0.01760000000000006
